what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed command: monitor cp15 8, 7, 0, 0 = 0x0",1452726145585
error,log,,,"Failed command: monitor cp15 1, 0, 0, 0 =0x1002",1452726145686
error,log,,,"Failed command: monitor cp15 15, 2, 0, 4 = 0x70000013",1452726145788
error,log,,,"Failed command: monitor MemU32 0x7e004000  =  0x00000000",1452726145890
error,log,,,"Failed command: monitor sleep 10",1452726145992
error,log,,,"Failed command: monitor MemU32 0x71200014  =  0x00000000",1452726146094
error,log,,,"Failed command: monitor MemU32 0x71300014  =  0x00000000",1452726146196
error,log,,,"Failed command: monitor MemU32 0x7120000C  =  0x00000000",1452726146297
error,log,,,"Failed command: monitor MemU32 0x7130000C  =  0x00000000",1452726146399
error,log,,,"Failed command: monitor MemU32 0x71200F00  =  0x00000000",1452726146501
error,log,,,"Failed command: monitor MemU32 0x71300F00  =  0x00000000",1452726146603
error,log,,,"Failed command: monitor MemU32 0x7e00f900  =  0x0000801e",1452726146705
error,log,,,"Failed command: monitor MemU32 0x7e00f000  =  0x0000ffff",1452726146807
error,log,,,"Failed command: monitor MemU32 0x7e00f004  =  0x0000ffff",1452726146908
error,log,,,"Failed command: monitor MemU32 0x7e00f020  =  0x01043310",1452726147009
error,log,,,"Failed command: monitor MemU32 0x7e00f00C  =  0xc2150601",1452726147111
error,log,,,"Failed command: monitor MemU32 0x7e00f010  =  0xc2150601",1452726147213
error,log,,,"Failed command: monitor MemU32 0x7e00f024  =  0x00000003",1452726147315
error,log,,,"Failed command: monitor MemU32 0x7e00f014  =  0x00200102",1452726147416
error,log,,,"Failed command: monitor MemU32 0x7e00f018  =  0x00000000",1452726147518
error,log,,,"Failed command: monitor MemU32 0x7e00f01C  =  0x14000007",1452726147620
error,log,,,"Failed command: monitor MemU32 0x7e00f120  =  0x00000008",1452726147721
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000004",1452726147823
error,log,,,"Failed command: monitor MemU32 0x7e001010  =  0x0000040f",1452726147925
error,log,,,"Failed command: monitor MemU32 0x7e001014  =  0x00000006",1452726148027
error,log,,,"Failed command: monitor MemU32 0x7e001018  =  0x00000001",1452726148129
error,log,,,"Failed command: monitor MemU32 0x7e00101c  =  0x00000002",1452726148230
error,log,,,"Failed command: monitor MemU32 0x7e001020  =  0x00000006",1452726148332
error,log,,,"Failed command: monitor MemU32 0x7e001024  =  0x0000000a",1452726148434
error,log,,,"Failed command: monitor MemU32 0x7e001028  =  0x0000000c",1452726148535
error,log,,,"Failed command: monitor MemU32 0x7e00102c  =  0x0000018f",1452726148637
error,log,,,"Failed command: monitor MemU32 0x7e001030  =  0x0000000c",1452726148741
error,log,,,"Failed command: monitor MemU32 0x7e001034  =  0x00000002",1452726148846
error,log,,,"Failed command: monitor MemU32 0x7e001038  =  0x00000002",1452726148949
error,log,,,"Failed command: monitor MemU32 0x7e00103c  =  0x00000002",1452726149051
error,log,,,"Failed command: monitor MemU32 0x7e001040  =  0x00000002",1452726149154
error,log,,,"Failed command: monitor MemU32 0x7e001044  =  0x00000013",1452726149258
error,log,,,"Failed command: monitor MemU32 0x7e001048  =  0x00000013",1452726149362
error,log,,,"Failed command: monitor MemU32 0x7e00100C  =  0x00010012",1452726149464
error,log,,,"Failed command: monitor MemU32 0x7e00104C  =  0x00000b45",1452726149565
error,log,,,"Failed command: monitor MemU32 0x7e001200  =  0x000150f8",1452726149668
error,log,,,"Failed command: monitor MemU32 0x7e001304  =  0x00000000",1452726149770
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000c0000",1452726149872
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00000000",1452726149974
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452726150075
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452726150194
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000a0000",1452726150296
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00080032",1452726150398
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000000",1452726150501
error,log,,,"Failed command: monitor speed 12000",1452726150806
error,log,,,"Failed command: load",1452726151010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1452726167428
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452726168679
error,log,,,"Failed command: target remote localhost:2331",1452726194463
error,log,,,"Failed command: monitor endian little",1452726194566
error,log,,,"Failed command: monitor speed 30",1452726194669
error,log,,,"Failed command: monitor reset",1452726194771
error,log,,,"Failed command: monitor sleep 10",1452726194873
error,log,,,"Failed command: monitor reg cpsr = 0xd3",1452726194975
error,log,,,"Failed command: monitor cp15 7, 7, 0, 0 = 0x0",1452726195076
error,log,,,"Failed command: monitor cp15 8, 7, 0, 0 = 0x0",1452726195182
error,log,,,"Failed command: monitor cp15 1, 0, 0, 0 =0x1002",1452726195285
error,log,,,"Failed command: monitor cp15 15, 2, 0, 4 = 0x70000013",1452726195388
error,log,,,"Failed command: monitor MemU32 0x7e004000  =  0x00000000",1452726195490
error,log,,,"Failed command: monitor sleep 10",1452726195591
error,log,,,"Failed command: monitor MemU32 0x71200014  =  0x00000000",1452726195693
error,log,,,"Failed command: monitor MemU32 0x71300014  =  0x00000000",1452726195795
error,log,,,"Failed command: monitor MemU32 0x7120000C  =  0x00000000",1452726195897
error,log,,,"Failed command: monitor MemU32 0x7130000C  =  0x00000000",1452726195999
error,log,,,"Failed command: monitor MemU32 0x71200F00  =  0x00000000",1452726196102
error,log,,,"Failed command: monitor MemU32 0x71300F00  =  0x00000000",1452726196204
error,log,,,"Failed command: monitor MemU32 0x7e00f900  =  0x0000801e",1452726196306
error,log,,,"Failed command: monitor MemU32 0x7e00f000  =  0x0000ffff",1452726196408
error,log,,,"Failed command: monitor MemU32 0x7e00f004  =  0x0000ffff",1452726196510
error,log,,,"Failed command: monitor MemU32 0x7e00f020  =  0x01043310",1452726196611
error,log,,,"Failed command: monitor MemU32 0x7e00f00C  =  0xc2150601",1452726196714
error,log,,,"Failed command: monitor MemU32 0x7e00f010  =  0xc2150601",1452726196816
error,log,,,"Failed command: monitor MemU32 0x7e00f024  =  0x00000003",1452726196918
error,log,,,"Failed command: monitor MemU32 0x7e00f014  =  0x00200102",1452726197020
error,log,,,"Failed command: monitor MemU32 0x7e00f018  =  0x00000000",1452726197122
error,log,,,"Failed command: monitor MemU32 0x7e00f01C  =  0x14000007",1452726197224
error,log,,,"Failed command: monitor MemU32 0x7e00f120  =  0x00000008",1452726197327
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000004",1452726197430
error,log,,,"Failed command: monitor MemU32 0x7e001010  =  0x0000040f",1452726197531
error,log,,,"Failed command: monitor MemU32 0x7e001014  =  0x00000006",1452726197633
error,log,,,"Failed command: monitor MemU32 0x7e001018  =  0x00000001",1452726197734
error,log,,,"Failed command: monitor MemU32 0x7e00101c  =  0x00000002",1452726197838
error,log,,,"Failed command: monitor MemU32 0x7e001020  =  0x00000006",1452726197939
error,log,,,"Failed command: monitor MemU32 0x7e001024  =  0x0000000a",1452726198041
error,log,,,"Failed command: monitor MemU32 0x7e001028  =  0x0000000c",1452726198144
